ma,ten,dc,so,phong,loai_hinh,loai_trg
790007C1,THPT Năng khiếu TDTT Huyện Bình Chánh,Ấp 1 Mai Bá Hương xã Lê Minh Xuân huyện Bình Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Năng khiếu thể dục thể thao
790007C2,THPT Lê Trọng Tấn,Số 5 Đường D2 Phường Sơn Kỳ Quận Tân Phú,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
790007C3,THPT Linh Trung,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
790007C4,THPT Dương Văn Thì,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
790007C5,THPT Bình Chiểu,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
790007C6,THPT Hồ Thị Bi,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
790007C7,THPT Phong Phú,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000802,THPT Thủ Thiêm,1 Đường Vũ Tông Phan,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000803,THPT Ngô Quyền,1360 Huỳnh Tấn Phát,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000804,THPT Thạnh Lộc,đường Nguyễn Thị Sáu - KP1,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000805,THPT An Lạc,595 Kinh Dương Vương Phường An Lạc Quận Bình Tân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000806,THPT Lê Minh Xuân,G11/1 Ấp 7 Xã Lê Minh Xuân H. Bình Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000807,THPT Đa Phước,D14/410A QL 50 xã Đa Phước -Huyện Bình Chánh TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000809,THCS và THPT Đăng Khoa,571 Cô Bắc,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000810,THCS và THPT Hồng Hà,170 Quang Trung,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000811,TH THCS THPT Tuệ Đức (2),249/108 Tân Thới Nhất 17,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000812,THCS và THPT Nguyễn Bỉnh Khiêm,140 Lý Chính Thắng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000813,Tiểu học THCS và THPT Ngô Thời Nhiệm,65D Hồ Bá Phấn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000814,THCSTHPT An Đông,91 Nguyễn Chí Thanh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000815,THCS THPT  Ngôi Sao,Đường số 18 Khu dân cư An Lạc,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000816,THCS-THPT Phan Bội Châu,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000818,TH - THCS - THPT VẠN HẠNH,781e Lê Hồng Phong P12 Q10,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000820,THPT Nam Sài Gòn,Khu A Nam Sài Gòn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000822,THCS-THPT Hồng Đức,Số 8Đường Hồ Đắc DiPhường Tây ThạnhQuận Tân Phú TP Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000824,THCS và THPT Bắc Sơn,338/24 Nguyễn Văn Quá P. Đông Hưng Thuận Quận 12,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000825,THCS và THPT Phạm Ngũ Lão,69/11 Phạm Văn Chiêu P14 Gò Vấp,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000826,THCS và THPT Bạch Đằng,53/1 Phan Văn Hớn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000827,THPT Đông Đô,12B Nguyễn Hữu Cảnh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000828,TH THCS và THPT Quốc Tế,305 Nguyễn Trọng Tuyển Phường 10 Quận Phú Nhuận,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000829,THCS và THPT  Việt Thanh,261 Cộng Hòa,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000830,THCS và THPT Trí Đức,1333A Thoại Ngọc Hầu,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000831,THCS và THPT Thái Bình,10 Trương Hoàng Thanh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000832,TH-THCS-THPT Thanh Bình,192/12 Nguyễn Thái Bình,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000834,THCS và THPT Nhân Văn,17 Sơn Kỳ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000835,THCS - THPT Nguyễn Khuyến,136 Cộng Hòa,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000836,TH THCS và THPT Trương Vĩnh Ký,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000838,THCS THPT Phan Châu Trinh,Số 12 Đường 23,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000841,THCS - THPT Duy Tân,106 Nguyễn Giản Thanh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000842,THPT Nguyễn Hữu Thọ,2 Bến Vân Đồn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000846,THCS và THPT Châu Á Thái Bình Dương,33 C D E Nguyễn Bỉnh Khiêm,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000848,Tiểu học THCS và THPT Việt Mỹ,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000849,THCS và THPT Đức Trí,39/23 Bùi Văn Ba khu phố 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000850,THCS và THPT Đinh Thiện Lý,Lô 01 Khu A Nam Sài Gòn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
