ma,ten,dc,so,phong,loai_hinh,loai_trg
79778410,TH Nguyễn Văn Hưởng,1207 Huỳnh Tấn Phát,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778411,TH Lê Anh Xuân,23 đường Phú Thuận Kp22,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778412,TH Phú Mỹ,76/5 Phạm Hữu Lầu,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778413,TiH Nguyễn Thị Định,203 Lâm Văn Bền,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778415,TH Kim Đồng,Nguyễn Văn Linh Kp1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778416,TH Nam Sài Gòn,Khu A Đô Thị Mới Nam Sài Gòn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778417,TH Đặng Thùy Trâm,215 Trần Xuân Soạn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778418,TH Võ Thị Sáu,Lô R6 Đặng Đại Độ,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778419,TH Phạm Hữu Lầu,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79778420,TH Phú Thuận,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT quận 7,Công lập,Trường phổ thông
79783401,TH Tân Phú,Ấp Xóm Đồng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783402,TH Tân Phú Trung,Ấp Đình,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783403,TH Tân Thông Hội,Ấp Hậu,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783404,TH Tân Tiến,61 Trần Tử Bình Ấp Tân Tiến,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783405,TH Lê Thị Pha,Ấp Hậu,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783406,TH Nguyễn Văn Lịch,Ấp Mũi Lớn 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783407,TH Liên Minh Công Nông,Ấp Bàu Tre 2 Đường Nguyễn Thị Rành,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783408,TH Thị Trấn Củ Chi,Khu phố 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783409,TH Tân Thành,Đường Can Trường khu phố 4 thị trấn Củ Chi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783410,TH Phước Vĩnh An,660 Tỉnh Lộ 8 Ấp 4 xã Phước Vĩnh An Huyện Củ Chi TP HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783411,TH Trần Văn Chẩm,Ấp 5,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783412,TH Phước Hiệp,Ấp Phước Hòa,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783413,TH Phước Thạnh,Số 30 Đường 671 Ấp Chợ,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783414,TH An Phước,Ấp Phước Hưng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783415,TH Thái Mỹ,Ấp Bình Thượng 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783416,TH Lê Văn Thế,Ấp Trảng Lắm xã trung lập hạ huyện củ chi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783417,TH Trung Lập Hạ,Tỉnh lộ 7 Ấp Đồn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783419,TH Trung Lập Thượng,Số 499 đường Trung Lập ấp Đồng Lớn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783420,TH An Nhơn Đông,Ấp Gò Nổi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783421,TH An Nhơn Tây,Ấp Xóm Trại xã An Nhơn Tây huyện Củ Chi Tp. Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783422,TH An Phú 1,Ấp An Hòa,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783423,TH An Phú 2,Phú Bình An Phú,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783424,TH Phú Mỹ Hưng,Ấp Phú Lợi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783425,TH Nhuận Đức,Ấp Bàu Chứa,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783426,TH Nhuận Đức 2,Ấp Ngã Tư,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783427,TH Phạm Văn Cội,Ấp 3,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783428,TH Phú Hòa Đông,378A  Ấp Phú Thuận,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783429,TH Phú Hòa Đông 2,Xã Phú Hòa Đông Huyện Củ Chi TP Hồ Chí Minh.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783430,TH Tân Thạnh Tây,Ấp 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783431,TH Trung An,Đường Võ Thị Hồng Ấp chợ,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783432,TH Hòa Phú,Đường Bến Than Ấp 1A Xã Hòa Phú - Huyện Củ Chi -TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783433,TH Bình Mỹ,Ấp 6B Xã Bình mỹ củ chi TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783434,TH Bình Mỹ 2,Tỉnh Lộ 9 Ấp 4a,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783435,TH Tân Thạnh Đông,Tỉnh lộ 15 ấp 10,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783436,TH Tân Thạnh Đông 2,Ấp 4,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783437,TH Tân Thạnh Đông 3,655 Tỉnh lộ 15 Ấp 6,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783438,TH Tân Thông,Ấp Chánh xã Tân Thông Hội huyện Củ Chi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783439,TH Thị Trấn 2,Đường Ninh Tốn Khu phố 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783499,TH Nguyễn Thị Lắng,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79783600,TH-THCS Tân Trung,1310 Tỉnh Lộ 8 xã Tân Thạnh Đông Huyện Củ Chi,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Củ Chi,Công lập,Trường phổ thông
79784401,TH NGUYỄN AN NINH,Số 79 đường Lê Lợi Khu phố 4 Thị Trấn Hóc Mônhuyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784402,TH Thới Tam,4/111 đường Trần Thị Bốc ấp Nam Thới Xã Thới Tam Thôn huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784403,TH Tam Đông,152/5BĐường Thới Tam Thôn ấp Tam Đông Xã Thới Tam Thôn Huyện Hóc Môn TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784404,TH TAM ĐÔNG 2,19/23 đường Thới Tứ 2Ấp Thới Tứ xã Thới Tam Thôn huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784405,TH MỸ HUỀ,59/5A đường Quốc lộ 22 ấp Mỹ Hòa 1 xã Trung Chánh huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784406,NAM KỲ KHỞI NGHĨA,28/1 đường Hồ Ngọc Cẩn ấp Trung Chánh 1 xã Trung Chánh huyện Hóc Môn.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784407,TH MỸ HÒA,58/8D đường Tân Xuân 6 Ấp Mỹ Hoà 3 xã Tân Xuân huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784408,TH ẤP ĐÌNH,170 đường Lê Thị Hà Ấp Chánh 1 xã Tân Xuân huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784409,TH TÂN HIỆP,187đường Lê Lợi Ấp Tân Thới 3 xã Tân Hiệp huyện Hóc Môn Thành phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784410,TH Cầu Xáng,50 đường Liên Xã Tân Hiệp ấp Thới Tây  2 xã Tân Hiệp huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784411,TH TÂY BẮC LÂN,51/2 đường Nguyễn Thị Huê ấp Hậu Lân xã Bà Điểm huyện Hóc Môn TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784412,TH LÝ CHÍNH THẮNG 2,90/9A Đường Tân Thới Nhì 9 Ấp Thống Nhất 2 Xã Tân Thới Nhì Huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784413,TH NHỊ TÂN,2/51 đường Dương Công KhiẤp Tân Lập xã Tân Thới Nhì huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784414,TH NGÃ BA GIỒNG,10 Đường Phan Văn Hớn Ấp 4 xã Xuân Thới Thượng huyện Hóc Môn TP HCM.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784415,TH HOÀNG HOA THÁM,209 đường Đặng Thúc Vịnh Ấp 7 Xã Đông Thạnh huyện Hóc Môn tphcm,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784416,TH THỚI THẠNH,363 Đường Đặng Thúc Vịnh ấp 1 xã Đông Thạnh huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784417,TH DƯƠNG CÔNG KHI,50/43 đường Lê Thị Kim Xuân Thới Sơn ấp 6 xã Xuân Thới Sơn huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784418,TH VÕ VĂN THẶNG,số 170 đường Bùi Công Trừng ấp 4 xã Nhị Bình huyện Hóc Môn Tp.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784419,TH BÙI VĂN NGỮ,1/21 đường Phan Văn Hớn ấp Tiền Lân xã Bà Điểm huyện Hóc Môn.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784420,TH TRƯƠNG VĂN NGÀI,107 đường liên xã Tân Hiệp ấp Tân Thới 2 huyện Hóc Môn Tp.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784421,TH NHỊ XUÂN,8B đường Nguyễn Văn Bứa Ấp 5 xã Xuân Thới Sơn huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784422,TH Tân Xuân,3/6B quốc lộ 22 ấp Mỹ Hòa 4 xã Xuân Thới Đông Huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784423,TH XUÂN THỚI THƯỢNG,10 đường Phan Văn Hớn Ấp 2 Xã Xuân Thới Thượng Huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784424,TH Trần Văn Mười,70 đường Trần Văn Mười ấp Xuân Thới Đông 3 xã Xuân Thới Đông huyện Hóc Môn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784425,TH TRẦN VĂN DANH,11A đường Đặng Thúc Vịnh Ấp 7 xã Đông Thạnh huyện Hóc Môn.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784426,NGUYỄN THỊ NUÔI,402 Tô Ký ấp Tam Đông 1 xã Thới Tam Thôn huyện Hóc Môn.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Công lập,Trường phổ thông
79784WD5,LMG THỎ HỒNG,4/4C đường Xuân Thới Sơn 31A Ấp 3 xã Xuân Thới Sơn huyện Hóc Môn Tp.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Hóc Môn,Tư thục,Trường phổ thông
79785401,TH Bình Hưng,3a Đường Số 10  Kdc Bình Hưng,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785402,TH Võ Văn Vân,Ấp 1 xã Phạm Văn Hai,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785403,TH Phong Phú,QL50 Ấp 2xã Phong Phú huyện Bình Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785404,TH Nguyễn Văn Trân,E13/414-Đa Phước Bình Chánh TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785405,TH Qui Đức,A6/12 xã Qui Đức huyện Bình Chánh TpHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785406,TH Hưng Long,Đường Đoàn Nguyễn Tuân - C1/30 ấp 3 xã Hưng Long huyện Bình Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785407,TH Tân Quý Tây,Ấp 2 xã Tân Quý Tây huyện Bình Chánh TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785408,TH Tân Quý Tây 3,Ấp 2 đường Đoàn Nguyễn Tuân xã Tân Quý Tây huyện Bình Chánh.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785409,TH Bình Chánh,c5/42 Trịnh Như Khuê Ấp 3 Bình Chánh xã Bình Chánh Huyện Bình Chánh TPHCM.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785410,TH An Phú Tây,Ấp 2 Xã An Phú Tây,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785411,TH Tân Túc,C1/3G KP3 Thị Trấn Tân Túc Huyện Bình Chánh TP Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785412,TH Tân Kiên,Số 2 đường số 2 khu tái định cư ấp 2 xã Tân Kiên,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785413,TH Phạm Văn Hai,1A256 Ấp 1 đường Trần Văn Giàu,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785414,TH An Hạ,Ấp 6 xã Phạm Văn Hai huyện Bình Chánh Thành phố HỒ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785415,TH Bình Lợi,B3/314 Ấp 2 xã Bình Lợi Bình Chánh Tp.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785416,TH Cầu Xáng,A3/33 Trần Văn Giàu Ấp 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785417,TH Lê Minh Xuân 2,E5/18 Lý Văn Mạnh Kênh B xã Lê Minh Xuân huyện Bình Chánh TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785418,Tiểu học Lê Minh Xuân 3,Đường Lê Đình Chi ấp 3 xã Lê Minh Xuân huyện Bình Chánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785419,TH Tân Nhựt,A7/178c Ấp 1 Tân Nhựt,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785420,TH Tân Nhựt 6,E3/56A,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785421,TH Vĩnh Lộc 1,A2/18 ấp 1 xã Vĩnh Lộc A - Huyện Bình Chánh - TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785422,TH Vĩnh Lộc 2,C3/17a Ấp 3,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785423,TH Vĩnh Lộc A,F7/32 ẤP 6,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785424,Tiểu học Vĩnh Lộc B,42B KDC Vĩnh Lộc Ấp 1 xã Vĩnh Lộc B huyện Bình Chánh Tp.HCM.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785427,TH Lại Hùng Cường,Ấp 2xã Vĩnh Lộc B Huyện Bình Chánh TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785428,TH Trần Nhân Tôn,B15/7 ấp 2 xã Bình Chánh huyện Bình Chánh Thành phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785429,TH Trần Quốc Toản,Ấp 4 xã Vĩnh Lộc B huyện Bình Chánh TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785430,TH Phạm Hùng,Đường 6A Khu dân cư Đại Phúc ấp 5,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785431,TH Phong Phú 2,Khu Dân Cư Phong Phú 4Xã Phong Phú Huyện Bình Chánh Thành Phố Hồ Chí Minh.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785432,Trường Tiểu Học An Phú Tây 2,đường số 5 khu dân cư An Phú Tây xã An Phú Tây Huyện Bình Chánh. TPHCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785433,TH Tân Túc 2,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785434,TH Huỳnh Văn Bánh,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785435,TH Việt Mỹ,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Tư thục,Trường phổ thông
79785436,TH Kim Đồng,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Công lập,Trường phổ thông
79785601,TiH - THCS Thế Giới Trẻ Em(TH),Số 29 đường số 3 KDC Trung Sơn,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Bình Chánh,Tư thục,Trường phổ thông
79786401,TH Trần Thị Ngọc Hân,19 Dương Cát Lợi Khu phố 4 Thị trấn Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786402,TH Bùi Văn Ba,Số 8 đường số 11 khu dân cư Phước Kiển A Lê Văn Lương ấp 5 xã Phước Kiển huyện Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786403,Tiểu học Lâm Văn Bền,373 Huỳnh Tấn Phát Khu Phố 7,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786404,TH Nguyễn Trực,1026/3 Ấp 5 Xã Phú Xuân - Huyện Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786405,TH Nguyễn Bình,247 đường Nguyễn Bình Ấp 2 xã Phú Xuân huyện Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786406,TH Trang Tấn Khương,Ấp 1 xã Long Thới,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786407,TH Dương Văn Lịch,774A Nguyễn Văn Tạo Ấp 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786408,TH Nguyễn Văn Tạo,1401 Nguyễn Văn Tạo Ấp 3 Xã Hiệp Phước huyện Nhà Bè Thành phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786409,TH Tạ Uyên,782 Lê Văn Lương Ấp 1,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786410,TH Lê Quang Định,218B Lê Văn Lương ấp 3 Phước Kiển Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786411,Tiểu học Bùi Thanh Khiết,435 đường Đào Sư Tích ấp 3 xã Phước Lộc huyện Nhà Bè,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786412,TH Lê Lợi,548/17 hẽm 15 Nguyễn Bình ấp 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786413,TH Lê Văn Lương,Ấp 4 Nhơn Đức Nhà Bè Tp.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79786414,TH Nguyễn Việt Hồng,,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Nhà Bè,Công lập,Trường phổ thông
79787401,TH An Nghĩa,Ấp An Nghĩa Xã An Thới Đông huyện Cần Giờ. TP Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787402,TH An Thới Đông,Ấp An Hòa Xã An Thới Đông,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787403,TH Doi Lầu,Ấp Doi Lầu Xã An Thới Đông huyện Cần Giờ Thành Phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787404,TH Bình Khánh,Đường Rừng Sác Ấp Bình Thuận- xã Bình Khánh,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787405,TH Bình Mỹ,Đường Trần Quang Đạo ẤP Bình Mỹ Xã Bình Khánh Huyện Cần Giờ,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787406,TH Bình Phước,Ấp Bình An Xã Bình Khánh Huyện Cần Giờ.,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
79787407,TH Bình Thạnh,Đường Hà Quang Vóc Ấp Bình Thạnh Xã Bình Khánh Huyện Cần Giờ TP HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,Phòng GDĐT Cần Giờ,Công lập,Trường phổ thông
